,Participant,Narrative,RE,Discourse,Order,Accessibility,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Duration
509,21.0,9,KEDİ,Re-introduction,10,1.0,0.1996485933677833,0.2131167346136447,0.0492662430966807,0.03988296714166254,0.24
510,21.0,10,FARE,Introduction,1,1.0,0.8592503718560125,0.9197265629190297,0.2032276495879715,0.15597456952297936,1.04
511,21.0,10,FARE,Re-introduction,6,0.0,0.162391133015849,0.1838122294822196,0.0537682759541916,0.04957010556666965,0.28
512,21.0,10,KEDİ,Introduction,4,-1.0,0.43017122594304097,0.4823832448017535,0.1233629057117912,0.1311190906643842,0.54
513,21.0,10,KEDİ,Maintenance,8,5.0,0.48459178574864553,0.48818016442525464,0.09477872775259359,0.1835830662720384,0.54
514,21.0,10,KEDİ,Re-introduction,12,1.0,0.1660293909862321,0.1781779468423472,0.03932222075148201,0.015000404925445158,0.24
515,22.0,1,FARE,Introduction,1,0.0,0.6187843227140554,0.7205159394505302,0.3416614052620629,0.1389524813409047,0.78
516,22.0,1,KEDİ,Introduction,2,-1.0,0.4215846755839429,0.45937183169526147,0.13027576576439945,0.12423507581692088,0.58
517,22.0,1,KEDİ,Re-introduction,10,1.0,0.3565919357384557,0.3747512475818351,0.0601419049067647,0.04555394190219971,0.32
518,22.0,2,KEDİ,Introduction,1,1.0,0.9962494935323145,1.0721120540293096,0.21446107813684492,0.1322169646144201,0.6
519,22.0,3,FARE,Introduction,3,-2.0,0.6756455849257466,0.7339836377344446,0.1866268736255724,0.1749301492862146,0.52
520,22.0,3,KEDİ,Introduction,4,-1.0,0.926451717861946,0.98724687530206,0.3018568812360518,0.16590617254211548,0.48
521,22.0,3,KEDİ,Re-introduction,10,0.0,0.6948892999783396,0.7483875118493676,0.1371613267596441,0.1303142188699272,0.5
522,22.0,4,FARE,Introduction,1,1.0,1.1621339854558022,1.2555882834685803,0.30586160910657484,0.1987022899238886,1.18
523,22.0,4,FARE,Re-introduction,6,0.0,0.3925881021454214,0.4313463320035258,0.08254085102203643,0.08915177995075883,0.68
524,22.0,4,KEDİ,Introduction,5,-1.0,0.2887393850455717,0.3218800680026935,0.058437005472287695,0.0501481116232537,0.34
525,22.0,4,KEDİ,Re-introduction,7,1.0,0.2165757528429144,0.2350501353425128,0.10992585153555164,0.0883225971368819,0.38
526,22.0,5,FARE,Introduction,6,0.0,0.2094001485184756,0.2352942851996259,0.07912271680801188,0.06441343275300354,0.5
527,22.0,5,KEDİ,Introduction,1,1.0,1.2977869331593983,1.4226151267507454,0.27128506117374085,0.2528070038810969,0.96
528,22.0,5,KEDİ,Re-introduction,10,0.0,0.1639700659509603,0.18018754278692806,0.0394649803039899,0.0350619898493437,0.26
529,22.0,6,FARE,Introduction,2,0.0,0.4463764980564084,0.4788526798083166,0.1063313474827133,0.1026915020019443,0.36
530,22.0,6,FARE,Re-introduction,5,2.0,0.8789514004485253,0.9256370352285227,0.1780244624180975,0.1691176802808099,0.8400000000000001
531,22.0,6,KEDİ,Introduction,1,1.0,1.153044276146931,1.2221285137733353,0.2433401771064746,0.2272935235438318,0.74
532,22.0,6,KEDİ,Maintenance,14,5.0,0.1252049203763295,0.127423265726685,0.0337556085626805,0.0432532957320176,0.28
533,22.0,6,KEDİ,Re-introduction,8,2.0,0.17015133320485512,0.2062465234346662,0.050915958994569,0.029820188698910552,0.24
534,22.0,7,KEDİ,Introduction,1,1.0,1.795562977477604,1.9300109053019887,0.34677634753225933,0.30575773121855643,0.92
535,22.0,7,KEDİ,Re-introduction,11,1.0,1.0936128572921642,1.1212216154130232,0.07853081076032455,0.1039940052167631,0.28
536,22.0,8,FARE,Introduction,2,0.0,0.4108436451032008,0.43553465813455466,0.08885521085375604,0.04450341026631221,0.4
537,22.0,8,FARE,Re-introduction,8,1.0,0.4403565307757172,0.4764603625296129,0.1142069510466325,0.10574844322705428,0.6
538,22.0,8,KEDİ,Introduction,1,1.0,0.4713363721874022,0.5078333224346195,0.11513162931876242,0.11067837436726846,0.46
539,22.0,9,FARE,Re-introduction,4,2.0,0.125212178602785,0.13315591788775222,0.0365767943073001,0.0396006451171445,0.24
540,22.0,9,FARE,Re-introduction,12,1.0,0.5587167975499174,0.5936472289038385,0.11262358775794892,0.10420754043506825,0.52
541,22.0,9,KEDİ,Introduction,2,0.0,0.279886542965598,0.3110474882291197,0.07270967136221937,0.0597018096222265,0.34
542,22.0,9,KEDİ,Re-introduction,10,0.0,0.4929813918241634,0.5361056477901457,0.14986277879181,0.13884508462737358,0.32
543,22.0,10,FARE,Introduction,2,0.0,0.3188442976490176,0.3442279059764249,0.1085270577077943,0.09897844656933501,0.44
544,22.0,10,FARE,Re-introduction,6,2.0,0.1084703588922264,0.13258124218484352,0.024618334822526598,0.030367204996855933,0.32
545,22.0,10,FARE,Re-introduction,8,2.0,0.2725441211250685,0.3074089060012906,0.06353390904815631,0.06908559341793301,0.32
546,22.0,10,KEDİ,Introduction,1,1.0,0.513476394285638,0.5703215668666363,0.10716335513943163,0.09961200375135323,0.62
547,22.0,10,KEDİ,Maintenance,4,4.0,0.44410403480672467,0.4951547582658825,0.09127259865540348,0.1057769033235245,0.38
548,22.0,10,KEDİ,Re-introduction,7,3.0,0.48170134852040875,0.4874322297024581,0.06574312028553506,0.0632240309447273,0.42000000000000004
549,22.0,10,KEDİ,Re-introduction,11,2.0,0.4315338715067959,0.4730095860052639,0.08255196505020661,0.0722064609754381,0.38
550,23.0,1,FARE,Introduction,1,0.0,0.1283438462332852,0.13743179308946898,0.03489807341050192,0.0355843169287371,0.24
551,23.0,1,FARE,Re-introduction,3,2.0,0.2043719289571462,0.2439634374414567,0.0389920596971789,0.045928986451659146,0.3
552,23.0,1,FARE,Re-introduction,10,0.0,0.3979447172349681,0.4355971510127018,0.0598476043821209,0.05278421784577594,0.34
553,23.0,1,KEDİ,Introduction,2,-1.0,0.2582114818407913,0.2813340346785733,0.08777843248151046,0.06858987379038956,0.6
554,23.0,1,KEDİ,Maintenance,21,5.0,0.48091366974327177,0.5010672518850154,0.1793149525885958,0.14439357096328428,0.42000000000000004
555,23.0,1,KEDİ,Re-introduction,4,2.0,0.29230559503615927,0.3084687753990666,0.10751829102751201,0.07589888899798201,0.44
556,23.0,1,KEDİ,Re-introduction,11,1.0,0.5100251055858401,0.5531188489542128,0.08109851758011916,0.117230875466334,0.38
557,23.0,2,KEDİ,Introduction,2,0.0,0.2868254272393399,0.3193405531663883,0.08533972723023978,0.0824480221221479,0.54
