,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
91,20,2,5,Native,0-3,1.1796608524190888,1.249671087515393,15.02673298276528,16.781734170885812,0.4029945626554379,0.3627135418977242,0.018900046695635102,0.0178412107141423,1.14
92,20,2,6,Native,0-3,1.3567023968450507,1.4386983028063698,26.49278392940863,29.610248015846814,0.4383671570282264,0.40977456576947635,0.007724969409398463,0.0072846992957745415,1.9199999999999997
93,20,2,7,Native,0-3,0.6399021363086258,0.6529159672790051,16.823317639239797,18.27175632165177,0.274095513631678,0.20279909193491702,0.010227380439834038,0.010023529704082483,1.12
94,20,3,2,Native,0-3,1.6089914251998993,1.689020929589515,47.07002155533244,56.20593811396665,0.6482937279288524,0.36791494266400737,0.0027419170934894726,0.0026119990668829534,3.5
95,20,3,4,Native,0-3,3.035764180336728,3.2472843264442752,64.46918097686931,90.86682933211748,1.2055531387645742,0.8981092962775761,0.0023563146362031427,0.002202830073097211,5.24
96,20,6,4,Native,0-3,1.3698264915828877,1.4899492446809315,24.101876525820394,30.338165443637187,0.2967930588164085,0.2421918373452233,0.009300557082902193,0.00855072716343875,1.7799999999999998
97,20,6,8,Native,0-3,1.0167690719453906,1.0736314959217885,24.067207911864617,30.04851387469871,0.3556562618887117,0.2907636438397946,0.0070116999472426104,0.006640341378953699,1.74
98,20,9,4,Native,0-3,1.4477973053031779,1.5099669701925358,16.688559933339885,18.964131491125283,0.3029353697591098,0.38477811032427756,0.017598682636276643,0.016874094467403004,1.3
99,20,10,5,Native,0-3,3.352407859214676,3.6320001739385237,66.81871673924982,80.41724065864916,0.8144694493388158,0.8484675697039138,0.002676097976671473,0.0024700912608419364,5.2
100,21,2,5,Late,4-7,1.3650917036530088,1.4616292620870317,21.423663382988252,25.369751227506306,0.34795834892885213,0.23185813967770824,0.008923255568296895,0.008333893184694803,1.8
101,21,2,6,Late,4-7,0.943911454506217,1.066657837815772,13.729432458815063,15.239166095190354,0.2513309972703114,0.27197206991559403,0.01731587399051578,0.015323237897828199,1.1
102,21,2,7,Late,4-7,0.40078345497669343,0.4302806370077466,8.472696905674862,9.072862623983633,0.09081945570939454,0.0899516844480207,0.014516890587305889,0.013521709007310844,0.76
103,21,3,2,Late,4-7,5.350561218571726,5.739992256054174,78.15750767800002,96.92644046553407,1.7780906689943166,1.1144719586735334,0.0023495670307221344,0.0021901601385885083,6.98
104,21,3,4,Late,4-7,2.4162862808009176,2.5871683443935165,33.295669943457646,43.51628339334556,0.8922361805756054,0.6168427136583634,0.005349810472277743,0.0049964563291995815,3.1
105,21,6,4,Late,4-7,1.3203657773346187,1.4307061709572524,20.730277456258683,27.383136913650983,0.46331304913503046,0.31988671258691137,0.010018950777011572,0.009246258944920299,1.6799999999999997
106,21,6,8,Late,4-7,2.715463906940494,2.914662567234648,46.92646667274686,58.96617234786317,0.7938017943691548,0.7690726713959931,0.004145327351283775,0.0038620205753505713,3.74
107,21,9,4,Late,4-7,2.443019910311923,2.59937940360189,25.85543486915123,29.704480014682826,0.6659262591370575,0.7189896932859705,0.008661133558582865,0.00814014364358231,2.44
108,21,10,5,Late,4-7,3.464029751834047,3.6919744834289214,43.86577662876176,55.13602364396245,1.0964374593601478,0.7490349781131804,0.006276306411377875,0.005888803467690139,3.42
109,22,2,5,Native,0-3,0.7169656618957908,0.7634573612285861,7.793902254911605,8.655188653526487,0.14229217551750967,0.1201578882447423,0.04701092125791786,0.044148131890134897,0.56
110,22,2,6,Native,0-3,2.4278556092821253,2.6401042116986826,35.73884542688734,38.62527978775938,0.7435976111023678,0.6711328828265086,0.006783412671373799,0.006238066827549141,2.78
111,22,2,7,Native,0-3,0.4411251611164367,0.48526603991328093,8.262246275577095,7.970383104379599,0.0724125305530364,0.04737120419127488,0.020389329408121045,0.0185346706351444,0.68
112,22,3,2,Native,0-3,3.0155058822089433,3.283874073611208,30.90779151320708,36.36756380754367,0.9311671778438995,0.7429521010246143,0.010100498503971482,0.00927505500187298,2.54
113,22,3,4,Native,0-3,1.9861240976645707,2.126596685423139,38.49189383785484,44.02110124054092,0.9298304997412248,0.7137600848861942,0.004887379769771877,0.004564543338997451,2.94
114,22,6,4,Native,0-3,1.1932579424294867,1.3233950790965867,17.238774556266726,21.060804006698717,0.3805149062250165,0.32220617886666125,0.01192247819005934,0.010750071553418799,1.48
115,22,6,8,Native,0-3,2.8423706888106772,3.04009633023022,42.37341701067148,48.69931336660246,0.8834814907163758,0.7911799174275543,0.005756449917121525,0.005382054625484126,3.24
116,22,9,4,Native,0-3,1.6553714566680622,1.791961936795142,15.581888076469113,17.18924574680456,0.41475934701295875,0.3904138463390447,0.020885337258684637,0.019293373620839886,1.3
117,22,10,5,Native,0-3,4.0445879211318285,4.282147009517228,55.90845072532205,60.40867234985773,1.100327180854477,0.9004552628405575,0.004653495989477535,0.004395335710858323,4.28
118,23,2,5,Late,13-17,1.8216677243382946,1.9595769881254068,49.75011773091546,55.64555075513493,0.520179268475114,0.4899860741317895,0.0035343355243586446,0.003285599387378787,3.32
119,23,2,6,Late,13-17,7.704958015403559,8.311569351041017,86.15595326729769,88.35906158416256,2.0095038066974005,2.0385763901148204,0.004423777091737997,0.004100912273213024,6.12
120,23,2,7,Late,13-17,2.3522738428811496,2.5306844155900836,43.00790823164724,46.02942129258898,0.5172759226745179,0.45269065621852106,0.006060068044995411,0.005632839662071718,2.88
121,23,3,2,Late,13-17,4.562984622659065,4.9201012628895855,25.87527700801572,32.717842759613276,1.3771670155731932,0.9644445697163023,0.022965371839477153,0.02129847191308376,2.06
122,23,3,4,Late,13-17,4.7363257925744,5.099969923865662,92.36547403272088,122.10675630466372,1.929305347522851,1.7904104309097053,0.0021238901250460853,0.001972449981082441,6.919999999999999
123,23,6,4,Late,13-17,5.456408027239913,5.90545212700139,69.84046752414129,87.83523232014696,1.7197787641325701,1.2107151855929759,0.004005760342278998,0.003701166721320757,5.42
